index,sequence_label,source,generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude,uniformity_score,patterns_score,periodicity_score,randomness_score
30,randoms-17,QRNG,IBM Qiskit (Single-Qubit),5.91712113857081e-10,61.84,9,6.06219924238892e-05,0.102,5.91712113857081e-10,61.84,9,0.4906,0.0094,1.75083389375309e-130,753.134693877551,43,-0.0438813655477265,4.906,1.0,3.24727280072824,0.12,8.33333333333333,152.684860367236,0.7918494752358123,0.6522402206360977,0.4108345930317005,0.6183080963012034
31,randoms-18,QRNG,IBM Qiskit (Single-Qubit),2.06388116652236e-10,64.2,9,1.11190264833003e-05,0.11,2.06388116652236e-10,64.2,9,0.5036,0.0036,1.21217612873693e-142,812.220408163265,43,-0.01404462716142,5.036,1.0,3.24365328194497,0.138,7.2463768115942,160.114764240177,0.7653015646866198,0.7113290096118413,0.44570303895168506,0.6407778710833821
32,randoms-19,QRNG,IBM Qiskit (Single-Qubit),0.0015797439665865,26.68,9,0.0062021898401792,0.076,0.0015797439665865,26.68,9,0.4988,0.0011999999999999,7.05908825587801e-142,814.710204081633,45,0.0408152288689961,4.988,0.676,3.28516445608801,0.086,11.6279069767442,173.103648368084,0.5031386933811733,0.8199736749318502,0.25928604296758023,0.5274661370935346
33,randoms-2,QRNG,IBM Qiskit (Single-Qubit),8.29822807094323e-10,61.08,9,0.000134916725306,0.098,8.29822807094323e-10,61.08,9,0.4952,0.0047999999999999,4.32342817034723e-146,835.175510204082,45,0.017528604579593,4.952,1.0,3.24729544078937,0.182,5.49450549450549,153.500962454854,0.7662169615344734,0.7738567565616616,0.41249165656549047,0.6508551248872085
34,randoms-20,QRNG,IBM Qiskit (Single-Qubit),2.2875825585738e-13,79.24,9,9.15067753889159e-08,0.13,2.2875825585738e-13,79.24,9,0.461,0.039,4.35888522038972e-135,772.444897959184,42,-0.025961337414284,4.61,1.0,3.22780967847868,0.294,3.40136054421769,171.448432214378,0.9399586673396624,0.6877291117845463,0.5522684994090978,0.7266520928444354
35,randoms-21,QRNG,IBM Qiskit (Single-Qubit),2.9753068940095303e-09,58.2,9,2.63813610118885e-05,0.106,2.9753068940095303e-09,58.2,9,0.4724,0.0276,8.14933423584167e-146,836.934693877551,46,-0.0436489275760023,4.724,1.0,3.25050234822855,0.334,2.9940119760479,220.599602353496,0.8827965958342618,0.6527005416699632,0.5417753915484319,0.6924241763508857
36,randoms-22,QRNG,IBM Qiskit (Single-Qubit),4.02151853854398e-06,41.52,9,0.0008666695293592,0.088,4.02151853854398e-06,41.52,9,0.4894,0.0106,4.03045303249482e-124,719.089795918367,42,-0.0321012815197708,4.894,1.0,3.26888584288131,0.168,5.95238095238095,181.196225881767,0.7652622896025607,0.6755695433734603,0.36105508387816093,0.6006289722847273
37,randoms-23,QRNG,IBM Qiskit (Single-Qubit),2.78351787300597e-07,47.8,9,4.01514172449902e-05,0.104,2.78351787300597e-07,47.8,9,0.5024,0.0023999999999999,3.60593750104503e-114,667.485714285714,41,0.0043390803874704,5.024,1.0,3.26109180278004,0.332,3.01204819277108,177.11766943554,0.7582256566510313,0.7477361732194664,0.39249152911946555,0.6328177863299878
38,randoms-24,QRNG,IBM Qiskit (Single-Qubit),8.35746186209454e-13,76.4,9,2.8652561090907e-06,0.116,8.35746186209454e-13,76.4,9,0.4896,0.0104,7.26434720881331e-144,818.14693877551,43,-0.0535306727187738,4.896,1.0,3.22622258613536,0.22,4.54545454545455,166.89372612597,0.7990988298298376,0.6331306964042593,0.5505737967327409,0.6609344409889459
39,randoms-25,QRNG,IBM Qiskit (Single-Qubit),9.05848726916202e-08,50.4,9,1.11190264833003e-05,0.11,9.05848726916202e-08,50.4,9,0.5196,0.0196,4.9546518784635804e-110,641.265306122449,39,-0.0519123080058692,5.196,1.0,3.2579042498225,0.464,2.1551724137931,164.70571190009,0.8440416764946892,0.6363357119715942,0.38199180447669706,0.6207897309809934
40,randoms-26,QRNG,IBM Qiskit (Single-Qubit),0.016260898310324,20.28,9,0.000134916725306,0.098,0.016260898310324,20.28,9,0.5186,0.0185999999999999,4.1336419277399e-125,729.959183673469,44,-0.0479657781658192,5.186,1.0,3.29489125781425,0.098,10.2040816326531,159.197073745699,0.8259129967018372,0.6441514345176019,0.1787572033907953,0.5496072115367449
41,randoms-27,QRNG,IBM Qiskit (Single-Qubit),1.88782786598094e-08,54.0,9,0.000134916725306,0.098,1.88782786598094e-08,54.0,9,0.4778,0.0222,2.36343769960532e-144,823.632653061225,44,0.0258211939456257,4.778,1.0,3.25797006237918,0.486,2.05761316872428,184.16821616397,0.8518468736736332,0.7902794317471266,0.4239612805450485,0.6886958619886028
42,randoms-28,QRNG,IBM Qiskit (Single-Qubit),4.16205882346169e-09,57.44,9,0.0004218533486177,0.092,4.16205882346169e-09,57.44,9,0.4944,0.0055999999999999,3.55354464859995e-130,748.575510204082,42,-0.0051223876940191,4.944,1.0,3.24666008964538,0.296,3.37837837837838,170.307564509255,0.7585879478333482,0.7289986462274259,0.4523131398629339,0.6466332446412361
43,randoms-29,QRNG,IBM Qiskit (Single-Qubit),1.17593659376732e-08,55.08,9,0.000134916725306,0.098,1.17593659376732e-08,55.08,9,0.5004,0.0003999999999999,6.191762631517489e-158,898.865306122449,47,-0.021451460222461,5.004,1.0,3.25521914219321,0.334,2.9940119760479,175.377167293338,0.7445634127042053,0.6966604895458787,0.41907527452617077,0.6200997255920849
44,randoms-3,QRNG,IBM Qiskit (Single-Qubit),1.99621131541814e-11,69.4,9,4.20066493879215e-07,0.124,1.99621131541814e-11,69.4,9,0.4622,0.0378,8.647443990977491e-148,846.526530612245,46,-0.0798718801473693,4.622,1.0,3.23359300797368,0.232,4.31034482758621,165.118625438271,0.9340399117291649,0.5809644700908327,0.5086025340057885,0.6745356386085953
45,randoms-30,QRNG,IBM Qiskit (Single-Qubit),2.55788102248205e-10,63.72,9,0.000134916725306,0.098,2.55788102248205e-10,63.72,9,0.4946,0.0054,4.51032645020997e-145,827.122448979592,44,0.023428717549868,4.946,1.0,3.24384374287184,0.006,166.666666666667,160.848472484267,0.7691697177300707,0.7855413624900909,0.446313186085977,0.6670080887687129
46,randoms-31,QRNG,IBM Qiskit (Single-Qubit),3.31155766333412e-05,36.44,9,0.0001988712714996,0.096,3.31155766333412e-05,36.44,9,0.518,0.018,4.49625925688316e-134,773.673469387755,44,-0.0158394767682453,5.18,1.0,3.27357095414495,0.138,7.2463768115942,192.765865892439,0.8285829374809883,0.707774482696474,0.36197983042219883,0.6327790835332204
47,randoms-32,QRNG,IBM Qiskit (Single-Qubit),5.91390039455886e-06,40.6,9,0.0006070782761407,0.09,5.91390039455886e-06,40.6,9,0.4924,0.0076,2.28948950853118e-131,754.367346938775,42,0.0035935195971313,4.924,0.996,3.27074076146836,0.392,2.55102040816327,139.654741376356,0.7609613194750351,0.7462596618247372,0.2611557508094351,0.5894589107030691
48,randoms-33,QRNG,IBM Qiskit (Single-Qubit),1.7278372974427797e-11,69.72,9,1.11190264833e-05,0.11,1.7278372974427797e-11,69.72,9,0.5128,0.0128,2.07277850923278e-119,696.097959183673,42,0.0195433242153959,5.128,1.0,3.23000329960496,0.284,3.52112676056338,175.605990617525,0.8105771553333663,0.7778467149097861,0.5499634857030102,0.7127957853153876
49,randoms-34,QRNG,IBM Qiskit (Single-Qubit),2.38560863388547e-06,42.76,9,0.0008666695293592,0.088,2.38560863388547e-06,42.76,9,0.4938,0.0061999999999999,7.86204096821707e-139,796.816326530612,44,0.0147405957128995,4.938,1.0,3.26725873978784,0.482,2.0746887966805,152.857044032695,0.743609572993099,0.768335373310798,0.307861894142544,0.6066022801488137
